codigolocal;comuna;merchan;latitud;longitud
1601287;MODELO;DPONCE;-334274770;-706750580
2094303;MODELO;DPONCE;-334276570;-706738240
2421516;MODELO;DPONCE;-334292269;-706696047
2327984;MODELO;DPONCE;-334298900;-706696200
1666187;MODELO;DPONCE;-334299390;-706691240
1640077;MODELO;DPONCE;-334307700;-706693010
856920;MODELO;DPONCE;-334314750;-706785550
2230296;MODELO;DPONCE;-334318720;-706676770
1418020;MODELO;DPONCE;-334322400;-706703350
2362290;MODELO;DPONCE;-334341553;-706587395
2399050;MODELO;DPONCE;-334343132;-706550703
1569506;MODELO;DPONCE;-334347000;-706572000
2421518;MODELO;DPONCE;-334385452;-706623941
1647064;MODELO;DPONCE;-334348573;-706629059
2396428;MODELO;DPONCE;-334347120;-706679530
2359027;MODELO;DPONCE;-334349010;-706725047
2302451;MODELO;DPONCE;-334354430;-706647810
2389822;MODELO;DPONCE;-334350794;-706674293
2114777;MODELO;DPONCE;-334356016;-706798110
2383481;MODELO;DPONCE;-334436328;-706445254
2403507;MODELO;DPONCE;-334370048;-706581449
787575;MODELO;DPONCE;-334385673;-706503743
1700257;MODELO;DPONCE;-334372590;-706615700
745168;MODELO;DPONCE;-334374630;-706801320
2417163;MODELO;DPONCE;-334376874;-706457416
2213286;MODELO;DPONCE;-334379370;-706681710
1671115;MODELO;DPONCE;-334379690;-706743580
2371542;MODELO;DPONCE;-334381838;-706569549
2147994;MODELO;DPONCE;-334392616;-706566272
1368855;MODELO;DPONCE;-334392902;-706690360
2356666;MODELO;DPONCE;-334396856;-706670587
2292043;MODELO;DPONCE;-334396690;-706606960
929057;MODELO;DPONCE;-334398430;-706758350
2385183;MODELO;DPONCE;-334403142;-706584816
2352605;MODELO;DPONCE;-334402179;-706552876
2044575;MODELO;DPONCE;-334416764;-706470417
2341711;MODELO;DPONCE;-334421580;-706733779
2236641;MODELO;DPONCE;-334421790;-706732500
1511041;MODELO;DPONCE;-334423620;-706766790
644046;MODELO;DPONCE;-334424350;-706770050
2375466;MODELO;DPONCE;-334424455;-706578056
2386594;MODELO;DPONCE;-334439872;-706351235
2400050;MODELO;DPONCE;-334440606;-706493490
2386595;MODELO;DPONCE;-334722809;-706242938
813182;MODELO;DPONCE;-334438250;-706774660
2432254;MODELO;DPONCE;-334454785;-706404186
1538449;MODELO;DPONCE;-334449340;-706771160
2026164;MODELO;DPONCE;-334449890;-706781640
776341;MODELO;DPONCE;-334448329;-706583702
806541;MODELO;DPONCE;-334448329;-706583702
2397251;MODELO;DPONCE;-334462640;-706471595
2381101;MODELO;DPONCE;-334483260;-706582300
718470;MODELO;DPONCE;-334462770;-706677030
2235808;MODELO;DPONCE;-334465530;-706399240
891163;MODELO;DPONCE;-334463329;-706637210
2373004;MODELO;DPONCE;-334477619;-706355757
2215003;MODELO;DPONCE;-334468752;-706514258
2354981;MODELO;DPONCE;-334469690;-706499923
1700217;MODELO;DPONCE;-334468260;-706622270
2382524;MODELO;DPONCE;-334483260;-706582300
935005;MODELO;DPONCE;-334430193;-706699494
2375464;MODELO;DPONCE;-334484736;-706359426
1427768;MODELO;DPONCE;-334475490;-706673080
2275035;MODELO;DPONCE;-334477847;-706761091
2436890;MODELO;DPONCE;-334488889;-706663817
2148784;MODELO;DPONCE;-334485110;-706352630
2388732;MODELO;DPONCE;-334486849;-706320233
2387692;MODELO;DPONCE;-334485771;-706660025
1574819;MODELO;DPONCE;-334485270;-706731900
2278100;MODELO;DPONCE;-334488950;-706532370
2189670;MODELO;DPONCE;-334487140;-706745290
2400678;MODELO;DPONCE;-334494506;-706444843
2030167;MODELO;DPONCE;-334490170;-706663440
1333926;MODELO;DPONCE;-334496160;-706634000
1942991;MODELO;DPONCE;-334502499;-706473300
806601;MODELO;DPONCE;-334498380;-706664800
1683813;MODELO;DPONCE;-334502400;-706338520
2428156;MODELO;DPONCE;-334502899;-706486885
846865;MODELO;DPONCE;-334509680;-706411770
2172350;MODELO;DPONCE;-334508561;-706662680
830990;MODELO;DPONCE;-334515990;-706325640
2166899;MODELO;DPONCE;-334642278;-706722522
1663698;MODELO;DPONCE;-334512340;-706636380
925860;MODELO;DPONCE;-334513270;-706697640
2449643;MODELO;DPONCE;-334513379;-706692533
824759;MODELO;DPONCE;-334514870;-706644970
2351400;MODELO;DPONCE;-334524660;-706488680
654137;MODELO;DPONCE;-334519000;-706607000
2240298;MODELO;DPONCE;-334522640;-706724500
1426180;MODELO;DPONCE;-334523130;-706615580
2300688;MODELO;DPONCE;-334526970;-706503030
1951942;MODELO;DPONCE;-334528210;-706343820
2298834;MODELO;DPONCE;-334528880;-706423040
2268255;MODELO;DPONCE;-334531830;-706307730
1930226;MODELO;DPONCE;-334529380;-706771220
1426178;MODELO;DPONCE;-334531920;-706502210
2046849;MODELO;DPONCE;-334531960;-706319800
2327442;MODELO;DPONCE;-334535160;-706305560
1456377;MODELO;DPONCE;-334535000;-706749000
672386;MODELO;DPONCE;-334535000;-706617000
2193487;MODELO;DPONCE;-334522800;-706361830
992898;MODELO;DPONCE;-334530520;-706708850
672466;MODELO;DPONCE;-334536500;-706630090
668647;MODELO;DPONCE;-334539160;-706697670
1940126;MODELO;DPONCE;-334540190;-706590890
872702;MODELO;DPONCE;-334540860;-706702790
1884218;MODELO;DPONCE;-334541480;-706705840
2461845;MODELO;DPONCE;-334554502;-706307623
2216971;MODELO;DPONCE;-334544503;-706614761
2322867;MODELO;DPONCE;-334550170;-706699080
2300687;MODELO;DPONCE;-334555130;-706640790
2396106;MODELO;DPONCE;-334560674;-706595899
712902;MODELO;DPONCE;-334555490;-706460290
1907952;MODELO;DPONCE;-334567300;-706297220
767616;MODELO;DPONCE;-334561960;-706413660
662635;MODELO;DPONCE;-334564735;-706648376
1489414;MODELO;DPONCE;-334562530;-706740470
892191;MODELO;DPONCE;-334571520;-706294270
1459012;MODELO;DPONCE;-334572780;-706433100
1385078;MODELO;DPONCE;-334584280;-706441850
994908;MODELO;DPONCE;-334575740;-706432990
1580190;MODELO;DPONCE;-334598030;-706527870
836448;MODELO;DPONCE;-334585400;-706508310
1488419;MODELO;DPONCE;-334610230;-706460060
1870822;MODELO;DPONCE;-334603388;-706296421
919001;MODELO;DPONCE;-334604180;-706550250
882161;MODELO;DPONCE;-334604550;-706557470
1349659;MODELO;DPONCE;-334606891;-706755288
1492023;MODELO;DPONCE;-334610350;-706461050
871569;MODELO;DPONCE;-334614620;-706320780
1961507;MODELO;DPONCE;-334619790;-706282270
658806;MODELO;DPONCE;-334613520;-706542070
792019;MODELO;DPONCE;-334606515;-706427882
1511027;MODELO;DPONCE;-334621630;-706471350
810674;MODELO;DPONCE;-334612810;-706775670
656136;MODELO;DPONCE;-334623867;-706487188
1870823;MODELO;DPONCE;-334626390;-706521080
1753840;MODELO;DPONCE;-334630170;-706489940
2111869;MODELO;DPONCE;-334633205;-706471588
2205398;MODELO;DPONCE;-334629740;-706734800
657496;MODELO;DPONCE;-334638000;-706321000
1417795;MODELO;DPONCE;-334653031;-706291550
793467;MODELO;DPONCE;-334672370;-706265400
2046402;MODELO;DPONCE;-334672700;-706369850
992723;MODELO;DPONCE;-334648790;-706489340
2320236;MODELO;DPONCE;-334649160;-706425340
2250179;MODELO;DPONCE;-334649340;-706735240
1872353;MODELO;DPONCE;-334648353;-706277325
1308746;MODELO;DPONCE;-334674450;-706279510
880637;MODELO;DPONCE;-334658030;-706499260
2278194;MODELO;DPONCE;-334661540;-706498000
2239184;MODELO;DPONCE;-334662842;-706513901
660072;MODELO;DPONCE;-334664790;-706729880
2344771;MODELO;DPONCE;-334674293;-706282891
1436643;MODELO;DPONCE;-334676370;-706278900
2332764;MODELO;DPONCE;-334688300;-706485070
1747732;MODELO;DPONCE;-334701790;-706484550
1916663;MODELO;DPONCE;-334703457;-706396446
643196;MODELO;DPONCE;-334703000;-706287000
2464717;MODELO;DPONCE;-334691619;-706547792
2039656;MODELO;DPONCE;-334476763;-706425686
1651720;MODELO;DPONCE;-334706606;-706293447
2399640;MODELO;DPONCE;-334721382;-706496887
1670754;MODELO;DPONCE;-334704570;-706768640
2344516;MODELO;DPONCE;-334703410;-706598040
2344515;MODELO;DPONCE;-334703340;-706596250
695014;MODELO;DPONCE;-334725849;-706465508
2388094;MODELO;DPONCE;-334734366;-706358689
668363;MODELO;DPONCE;-334754820;-706464810
774737;MODELO;DPONCE;-334734720;-706681960
886498;MODELO;DPONCE;-334745930;-706510640
668364;MODELO;DPONCE;-334641476;-706479816
2365635;PIRAMIDE;DPONCE;-334684717;-705987444
2410701;PIRAMIDE;DPONCE;-334869772;-706074198
649107;PIRAMIDE;DPONCE;-334868978;-706069420
1737788;PIRAMIDE;DPONCE;-334881634;-706229878
676524;PIRAMIDE;DPONCE;-334909277;-706141432
718180;PIRAMIDE;DPONCE;-334930106;-706120593
2060993;PIRAMIDE;DPONCE;-334976688;-705861742
771043;PIRAMIDE;DPONCE;-335241188;-706960398
643066;PIRAMIDE;DPONCE;-334961678;-706156272
1658079;PIRAMIDE;DPONCE;-335041740;-706009400
2410953;PIRAMIDE;DPONCE;-335067601;-705985796
748845;PIRAMIDE;DPONCE;-334957406;-706660004
1359151;MODELO;DPONCE;-334633810;-706446280
1319539;MODELO;DPONCE;-334611330;-706472460
